Label	Next label	Weight
B-LOC	I-LOC	5.707007
B-MISC	I-MISC	4.701425
B-PER	I-PER	4.662567
B-ORG	I-ORG	4.405209
I-LOC	I-LOC	4.080113
I-MISC	I-MISC	4.011174
I-ORG	I-ORG	3.303656
I-PER	I-PER	3.256811
O	O	2.6129
O	B-PER	2.418383
B-MISC	B-MISC	1.417514
O	B-MISC	1.408156
O	B-LOC	1.33569
B-ORG	B-ORG	1.054564
O	B-ORG	1.046436
B-MISC	I-LOC	0.67844
B-PER	B-PER	0.576024
I-PER	B-LOC	0.121623
I-LOC	I-PER	-0.044167
I-ORG	B-ORG	-0.058594
I-PER	B-ORG	-0.099686
I-PER	B-PER	-0.102183
I-LOC	B-MISC	-0.122148
B-PER	O	-0.143534
B-LOC	B-LOC	-0.151764
I-ORG	I-PER	-0.177775
I-MISC	I-PER	-0.242835
B-LOC	B-ORG	-0.244272
I-LOC	B-PER	-0.246845
I-MISC	B-LOC	-0.256561
I-MISC	B-PER	-0.262112
B-PER	B-ORG	-0.27412
B-LOC	I-MISC	-0.290868
B-ORG	I-PER	-0.312088
B-MISC	B-ORG	-0.312348
I-ORG	B-PER	-0.319749
I-ORG	B-LOC	-0.342776
I-PER	I-LOC	-0.38881
I-PER	I-ORG	-0.410042
B-ORG	B-MISC	-0.438377
I-PER	I-MISC	-0.466466
B-PER	I-LOC	-0.491181
B-LOC	I-ORG	-0.498606
B-PER	I-MISC	-0.501164
I-PER	B-MISC	-0.544858
I-LOC	O	-0.568752
B-ORG	B-PER	-0.570579
B-MISC	B-PER	-0.598526
B-MISC	O	-0.608154
I-MISC	O	-0.630618
B-PER	I-ORG	-0.677384
B-LOC	B-MISC	-0.71813
B-MISC	I-ORG	-0.825704
B-LOC	O	-0.864296
B-MISC	I-PER	-0.872199
B-ORG	B-LOC	-0.899137
I-ORG	O	-0.92238
B-PER	B-MISC	-0.949086
B-LOC	I-PER	-0.977934
B-PER	B-LOC	-0.986282
B-MISC	B-LOC	-1.158837
B-LOC	B-PER	-1.280466
I-LOC	B-LOC	-1.384551
I-PER	O	-1.460298
B-ORG	O	-1.47351
O	I-MISC	-1.535557
O	I-ORG	-2.168209
O	I-PER	-2.31336
O	I-LOC	-2.49932
